Time	Channel B
(s)	(V)

5.52039986	-1.20406500
5.52059986	-1.20400400
5.52079986	-1.20394300
5.52099986	-1.20382100
5.52119986	-1.20363800
5.52139986	-1.20339400
5.52159986	-1.20327200
5.52179986	-1.20327200
5.52199986	-1.20345500
5.52219986	-1.20376000
5.52239986	-1.20412600
5.52259986	-1.20449300
5.52279986	-1.20473700
5.52299986	-1.20485900
5.52319986	-1.20479800
5.52339986	-1.20467600
5.52359986	-1.20455400
5.52379986	-1.20437100
5.52399986	-1.20424900
5.52419986	-1.20418800
5.52439986	-1.20412600
5.52459986	-1.20406500
5.52479986	-1.20400400
5.52499986	-1.20382100
5.52519986	-1.20369900
5.52539986	-1.20357700
5.52559986	-1.20357700
5.52579986	-1.20363800
5.52599986	-1.20382100
5.52619986	-1.20412600
5.52639986	-1.20449300
5.52659986	-1.20485900
5.52679986	-1.20516400
5.52699986	-1.20522500
5.52719986	-1.20522500
5.52739986	-1.20498100
5.52759986	-1.20479800
5.52779986	-1.20461500
5.52799986	-1.20455400
5.52819986	-1.20467600
5.52839986	-1.20492000
5.52859986	-1.20522500
5.52879986	-1.20553000
5.52899986	-1.20577500
5.52919986	-1.20577500
5.52939986	-1.20565300
5.52959986	-1.20534700
5.52979986	-1.20498100
5.52999986	-1.20473700
5.53019986	-1.20461500
5.53039986	-1.20467600
5.53059986	-1.20479800
5.53079986	-1.20504200
5.53099986	-1.20516400
5.53119986	-1.20516400
5.53139986	-1.20498100
5.53159986	-1.20479800
5.53179986	-1.20455400
5.53199986	-1.20437100
5.53219986	-1.20431000
5.53239986	-1.20431000
5.53259986	-1.20437100
5.53279986	-1.20443200
5.53299986	-1.20443200
5.53319986	-1.20449300
5.53339986	-1.20455400
5.53359986	-1.20467600
5.53379986	-1.20492000
5.53399986	-1.20522500
5.53419986	-1.20546900
5.53439986	-1.20571400
5.53459986	-1.20577500
5.53479986	-1.20583600
5.53499986	-1.20583600
5.53519986	-1.20583600
5.53539986	-1.20601900
5.53559986	-1.20614100
5.53579986	-1.20638500
5.53599986	-1.20650700
5.53619986	-1.20656800
5.53639986	-1.20656800
5.53659986	-1.20644600
5.53679986	-1.20638500
5.53699986	-1.20626300
5.53719986	-1.20620200
5.53739986	-1.20608000
5.53759986	-1.20595800
5.53779986	-1.20577500
5.53799986	-1.20565300
5.53819986	-1.20553000
5.53839986	-1.20546900
5.53859986	-1.20540800
5.53879986	-1.20540800
5.53899986	-1.20546900
5.53919986	-1.20559200
5.53939986	-1.20571400
5.53959986	-1.20589700
5.53979986	-1.20608000
5.53999986	-1.20626300
5.54019986	-1.20632400
5.54039986	-1.20638500
5.54059986	-1.20632400
5.54079986	-1.20614100
5.54099986	-1.20601900
5.54119986	-1.20595800
5.54139986	-1.20595800
5.54159986	-1.20601900
5.54179986	-1.20601900
5.54199986	-1.20589700
5.54219986	-1.20577500
5.54239986	-1.20559200
