Time	Channel A
(s)	(V)

5.88812658	-1.75802700
5.88837659	-1.74337700
5.88862661	-1.73361000
5.88887663	-1.74826000
5.88912664	-1.73361000
5.88937666	-1.73849300
5.88962667	-1.74337700
5.88987669	-1.72872700
5.89012671	-1.72384300
5.89037672	-1.72872700
5.89062674	-1.72872700
5.89087675	-1.74337700
5.89112677	-1.73361000
5.89137679	-1.72384300
5.89162680	-1.72384300
5.89187682	-1.72872700
5.89212683	-1.72872700
5.89237685	-1.75314400
5.89262687	-1.73361000
5.89287688	-1.73361000
5.89312690	-1.73849300
5.89337691	-1.73361000
5.89362693	-1.75314400
5.89387695	-1.72384300
5.89412696	-1.73361000
5.89437698	-1.71407600
5.89462699	-1.74337700
5.89487701	-1.74337700
5.89512703	-1.73849300
5.89537704	-1.74337700
5.89562706	-1.72384300
5.89587707	-1.71896000
5.89612709	-1.74337700
5.89637711	-1.71407600
5.89662712	-1.73361000
5.89687714	-1.73361000
5.89712715	-1.71896000
5.89737717	-1.72872700
5.89762719	-1.73849300
5.89787720	-1.73361000
5.89812722	-1.73361000
5.89837723	-1.72872700
5.89862725	-1.74337700
5.89887727	-1.72872700
5.89912728	-1.73361000
5.89937730	-1.71896000
5.89962731	-1.74337700
5.89987733	-1.73849300
5.90012735	-1.74337700
5.90037736	-1.73849300
5.90062738	-1.73361000
5.90087739	-1.73361000
5.90112741	-1.73361000
5.90137743	-1.73361000
5.90162744	-1.73361000
5.90187746	-1.72872700
5.90212747	-1.73361000
5.90237749	-1.75314400
5.90262751	-1.74826000
5.90287752	-1.73361000
5.90312754	-1.73849300
5.90337755	-1.73849300
5.90362757	-1.71896000
5.90387758	-1.72384300
5.90412760	-1.74337700
5.90437762	-1.73849300
5.90462763	-1.73849300
5.90487765	-1.71896000
5.90512766	-1.74337700
5.90537768	-1.74826000
5.90562770	-1.71407600
5.90587771	-1.73361000
5.90612773	-1.73361000
5.90637774	-1.73361000
5.90662776	-1.74337700
5.90687778	-1.73361000
5.90712779	-1.73361000
5.90737781	-1.71407600
5.90762782	-1.71896000
5.90787784	-1.71407600
5.90812786	-1.72384300
